"Step","coin4_cbam_baseline - SW_ep_rew_total","coin4_cbam_baseline - SW_ep_rew_total__MIN","coin4_cbam_baseline - SW_ep_rew_total__MAX"
"19456000","-5.780000030994415","-5.780000030994415","-5.780000030994415"
"19520000","-4.880000054836273","-4.880000054836273","-4.880000054836273"
"19584000","-5.929999351501465","-5.929999351501465","-5.929999351501465"
"19648000","-6.1600000858306885","-6.1600000858306885","-6.1600000858306885"
"19712000","-7.400000095367432","-7.400000095367432","-7.400000095367432"
"19776000","-6.740000158548355","-6.740000158548355","-6.740000158548355"
"19840000","-6.250000189989805","-6.250000189989805","-6.250000189989805"
"19904000","-6.579999217763543","-6.579999217763543","-6.579999217763543"
"19968000","-7.310000419616699","-7.310000419616699","-7.310000419616699"
"20032000","-6.419999809935689","-6.419999809935689","-6.419999809935689"
